QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
MN-025,What does Minnesota implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,A
MN-026,What makes Minnesota DUI laws unique?,DUI is only a misdemeanor offense,No ignition interlock is required,Vehicle forfeiture is possible for DUI,First offense has no license impact,C
MN-031,When must headlights be used in Minnesota?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required,Sunset to sunrise or low visibility,D
MN-032,What does Minnesota Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
MN-034,What should Minnesota drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Salt trucks clear roads immediately,Severe winter conditions are common,D
MN-035,What is Minnesota law regarding school buses?,Stop in both directions unless barrier,Stop only when you are on the same side,Slow down to 25 mph when passing buses,Stop only when the red lights are flashing,A
MN-037,What should Minnesota drivers know about deer?,Deer collisions very common especially fall,Deer are not common on any state roads,Deer only cross at the marked crossings,Deer only appear in the rural areas here,A
MN-038,What should Minnesota drivers know about the Twin Cities?,Traffic is light in the metro area,No toll roads exist in this area,Heavy congestion during rush hours,Traffic rules differ from state laws,C
MN-040,What should Minnesota drivers know about rural roads?,Rural roads are all well maintained,Gravel roads are common in rural areas,Rural roads have higher speed limits,Rural roads are rarely traveled,B
MS-013,What is Mississippi law on texting while driving?,Texting is banned for all drivers now,Texting is legal for adult drivers,Only banned in school zones,Only banned for commercial drivers,A
MS-017,What phone restriction applies to Mississippi permit holders?,No phone restrictions apply at all,Hands-free is allowed for permits,Only texting is banned for permits,No wireless device use at all,D
MS-024,What does Mississippi implied consent law mean?,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,Auto consent to testing when driving,D
MS-032,What does Mississippi Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
MS-034,What should Mississippi drivers know about flooding?,Flooding is rare throughout the state,Only coastal areas experience flooding,Flash flooding is common statewide,Flooding only occurs during hurricanes,C
MS-037,What should Mississippi drivers know about deer?,Deer are not common on state roads,Deer only cross at marked crossings,Deer only appear in rural areas,Deer collisions are common in state,D
MS-038,What should Mississippi drivers know about logging trucks?,Logging trucks are prohibited on roads,Logging trucks are only in northern areas,Logging trucks have the right of way,Large logging trucks are common on roads,D
MS-040,What should Mississippi drivers know about the Gulf Coast?,The coast has no special driving concerns,Hurricane evacuation routes exist here,Coastal roads are always well maintained,The coast has higher speed limits,B
MO-016,What is Missouri law on texting while driving?,Texting is legal for all adult drivers,Texting is banned only for drivers under 22,Texting is banned for all drivers now,Only banned in school zones statewide,C
MO-026,What does Missouri implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,A
MO-031,When must headlights be used in Missouri?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required,C
MO-032,What does Missouri Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
MO-034,What should Missouri drivers know about tornadoes?,Tornadoes are rare in Missouri state,Only western Missouri sees tornadoes,Tornado alley includes parts of state,Tornado warnings are always posted,C
MO-035,What is Missouri law regarding school buses?,Stop only when you are on the same side,Slow down to 25 mph when passing buses,Stop only when the red lights are flashing,Stop in both directions unless barrier,D
MO-037,What should Missouri drivers know about St. Louis and Kansas City?,Traffic is light in both metro areas,No toll roads exist in these areas,Traffic rules differ from state laws,Major metro areas with heavy traffic,D
MO-038,What should Missouri drivers know about the Ozarks?,The Ozarks have flat easy roads,Winding hilly roads require caution,The Ozarks have higher speed limits,The Ozarks are only in state parks,B
MO-040,What should Missouri drivers know about river flooding?,Flooding is rare throughout the state,Major rivers can flood roads often,Flooding only occurs in spring time,All roads are above flood levels,B
MT-006,What driving restrictions apply to Montana learners license?,No driving between midnight and 5 AM,No nighttime restrictions at all,No driving after 11 PM at all times,No driving from 8 PM to 6 AM,A
MT-024,What does Montana implied consent law mean?,You can refuse all tests without penalty,Consent to vehicle searches only,Auto consent to testing when driving,Consent to field sobriety tests only,C
MT-030,What happens if you drive without insurance in Montana?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,Fines plus suspension plus SR-22 filing,D
MT-031,When must headlights be used in Montana?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required,A
MT-032,What does Montana Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
MT-035,What should Montana drivers know about wildlife?,Wildlife is not a significant concern,Wildlife only in national parks areas,Wildlife crossings are always marked,Deer elk and other wildlife common,D
MT-038,What should Montana drivers know about mountain passes?,Mountain passes have no special concerns,Passes may close in winter weather,All passes are open year round,Passes have higher speed limits,B
MT-040,What should Montana drivers know about long distances?,Services are frequent throughout state,Long distances between services exist,Speed limits are higher for distance,All roads have rest stops nearby,B
NE-024,What does Nebraska implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,A
NE-031,When must headlights be used in Nebraska?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required,B
NE-032,What does Nebraska Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
NE-034,What should Nebraska drivers know about severe weather?,Severe weather is rare in the state,Only winter weather is a concern,Only summer heat is a major concern,Tornadoes and severe storms common,D
NE-035,What is Nebraska law regarding school buses?,Stop in both directions unless barrier,Stop only when you are on the same side,Slow down to 25 mph when passing buses,Stop only when the red lights are flashing,A
NE-038,What should Nebraska drivers know about I-80?,Major east-west interstate through state,I-80 is a toll road throughout state,I-80 is only for commercial trucks,I-80 has higher speed limits than others,A
NE-040,What should Nebraska drivers know about rural roads?,Rural roads are all well maintained,Rural roads have higher speed limits,Rural roads are rarely traveled now,Gravel roads common in rural areas,D
NV-006,What restriction applies to Nevada instruction permit holders?,No driving after sunset at any time,No driving at all on highways ever,Must have licensed adult supervise,No passengers under 18 years of age,C
NV-024,What does Nevada implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
NV-031,When must headlights be used in Nevada?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,Sunset to sunrise or low visibility,D
NV-032,What does Nevada Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
NV-034,What should Nevada drivers know about desert driving?,Desert roads are always cool and safe,Services are frequent in desert areas,Extreme heat and long distances common,Desert roads have lower speed limits,C
NV-035,What is Nevada law regarding school buses?,Stop only when on the same side road,Slow down to 25 mph when passing bus,Stop only when red lights are flashing,Stop in both directions unless barrier,D
NV-037,What should Nevada drivers know about Las Vegas traffic?,Traffic is light in the metro area,No special concerns in Las Vegas,Heavy congestion especially near Strip,Traffic rules differ from state laws,C
NV-040,What should Nevada drivers know about winter driving in mountains?,Mountain passes may close in winter,No winter weather in Nevada state,All passes are open year round here,Passes have higher speed limits set,A
NH-008,What nighttime restrictions apply to New Hampshire youth operators?,No driving after sunset at any time,No nighttime restrictions apply at all,No driving from midnight to 5 AM only,No driving from 1 AM to 4 AM generally,D
NH-017,What is New Hampshire law on cell phones for young drivers?,No phone restrictions for any driver,Hands-free is allowed for all drivers,No cell phone use for drivers under 18,Only texting is banned for all drivers,C
NH-028,What is unique about New Hampshire auto insurance?,Insurance is mandatory for all drivers in state,State provides free insurance for all drivers,Insurance not mandatory but must show responsibility,Only liability insurance is required here,C
NH-029,What happens if uninsured and cause accident in New Hampshire?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,License suspension and must pay damages,D
NH-031,When must headlights be used in New Hampshire?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
NH-032,What does New Hampshire Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
NH-034,What should New Hampshire drivers know about moose?,Moose are serious hazard at night,Moose are not found on New Hampshire roads,Moose crossings are always clearly marked,Moose only appear in far northern areas,A
NH-037,What should New Hampshire drivers know about winter driving?,Snow is rare throughout the state,Severe winter conditions are common,Chains are always required in winter,Salt trucks clear roads immediately,B
NH-040,What should New Hampshire drivers know about leaf peeping season?,Leaf season has no impact on traffic,Only locals drive during fall season,Tourist traffic increases significantly,Roads close during leaf peeping season,C
NJ-008,What nighttime restrictions apply to New Jersey GDL drivers?,No driving from 11:01 PM to 5 AM,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from midnight to 6 AM only,A
NJ-009,What is the passenger restriction for New Jersey GDL drivers?,Unlimited passengers are allowed now,Only one passenger unless family,No passengers under age 18 allowed,Up to three passengers allowed now,B
NJ-030,What happens if you drive without insurance in New Jersey?,A warning only for the first offense,A small fine only is applied to you,Suspension plus fines plus surcharges,Points on your license but no fine,C
NJ-031,When must headlights be used in New Jersey?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,Sunset to sunrise or low visibility,D
NJ-032,What does New Jersey Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
NJ-034,What should New Jersey drivers know about jughandles?,Jughandles are rare in the state now,Jughandles are only in rural areas,Jughandles are used for left turns,Jughandles are being phased out,C
NJ-035,What is unique about New Jersey gas stations?,Self service is common everywhere,Full service is required by state law,Gas stations are state owned here,Cash only is accepted at stations,B
NJ-038,What should New Jersey drivers know about the Garden State Parkway?,The Parkway is a free highway here,Major toll road through the state,Only for commercial trucks allowed,The Parkway has no speed limits,B
NJ-040,What should New Jersey drivers know about shore traffic?,Shore traffic is light year round,No special concerns for shore areas,Traffic rules differ at the shore,Heavy summer traffic to shore points,D
NM-010,What happens to New Mexico provisional driver with a violation?,A warning only for the first offense,Fine only with no license impact,Extended time in provisional status,Points that clear at age 18 years,C
NM-024,What does New Mexico implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
NM-030,What happens if you drive without insurance in New Mexico?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,Fines plus suspension plus community svc,D
NM-031,When must headlights be used in New Mexico?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
NM-032,What does New Mexico Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
NM-034,What should New Mexico drivers know about desert driving?,Desert roads are always cool and safe,Services are frequent in desert areas,Desert roads have lower speed limits,Extreme heat and long distances common,D
NM-037,What should New Mexico drivers know about wildlife?,Watch for deer and elk on roadways,Wildlife is not a significant concern,Wildlife only in national parks areas,Wildlife crossings are always marked,A
NM-038,What should New Mexico drivers know about flash floods?,Flash floods are rare in New Mexico,Flash floods only occur in mountains,Flash floods can occur in dry areas,All roads are above flood levels here,C
NM-040,What should New Mexico drivers know about altitude?,High altitude affects drivers and cars,Altitude has no effect on driving at all,Only mountain passes have high altitude,Altitude only affects commercial trucks,A
NY-012,What happens if a New York junior driver is convicted of a violation?,A warning only for the first offense,Fine only with no license impact,Points that clear at age 18 years,Possible suspension and extended wait,D
NY-018,What is New York law on cell phones while driving?,No phone restrictions for any driver,Hands-free only is allowed for all,Only texting is banned for drivers,Only banned for commercial drivers,B
NY-025,What does New York implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
NY-031,When must headlights be used in New York?,Sunset to sunrise only is required here,Only during rain or severe weather,Only on rural roads is required here,Sunset to sunrise or low visibility,D
NY-032,What does New York Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
NY-034,What should New York drivers know about New York City?,Traffic is light in the city area,No special concerns in the city,Heavy traffic and special local rules,Traffic rules same as rest of state,C
NY-036,What is the New York Point System?,Points on license for violations occur,Reward system for safe driving only,Insurance discount program for all,License renewal tracking system only,A
NY-037,What should New York drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Salt trucks clear roads immediately,Severe winter conditions are common,D
NY-038,What should New York drivers know about toll roads?,New York has no toll roads at all,Cash only tolls are accepted here,Extensive toll system with E-ZPass,Toll roads are free for residents,C
NY-040,What should New York drivers know about the Thruway?,The Thruway is a free highway here,Only for commercial trucks allowed,The Thruway has no speed limits,Major toll road spanning the state,D
NC-006,What restrictions apply to North Carolina limited provisional license?,No driving between 9 PM and 5 AM,No nighttime restrictions apply,No driving after sunset at all,No driving from midnight to 6 AM,A
NC-009,Who can supervise a North Carolina permit holder?,Any adult with valid drivers license,Only professional driving instructors,Any licensed driver over age 25,Licensed driver 21+ with 5 yrs exp,D
NC-018,What is North Carolina law on cell phones for teen drivers?,No wireless device use at all period,No phone restrictions for any driver,Hands-free is allowed for all drivers,Only texting is banned for drivers,A
NC-026,What makes North Carolina DUI laws unique?,DUI is only a misdemeanor offense,No ignition interlock is ever required,Continuous alcohol monitoring possible,First offense has no license impact,C
NC-031,When must headlights be used in North Carolina?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required,A
NC-032,What does North Carolina Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,Slow or move for emergency plus utility,D
NC-034,What should North Carolina drivers know about mountain driving?,Mountains are only in western part state,Mountain roads have higher speed limits,Mountain roads are all well maintained,Mountains have no special driving concerns,A
NC-037,What should North Carolina drivers know about hurricanes?,Hurricanes are rare in North Carolina,Only coastal areas need to evacuate,Evacuation routes exist for storms,Hurricanes only affect Outer Banks,C
NC-040,What should North Carolina drivers know about the Outer Banks?,Outer Banks has no special concerns,Special driving conditions and ferries,Outer Banks roads are all paved now,Traffic rules differ on Outer Banks,B
ND-010,What happens to North Dakota teen driver with violations?,A warning only for the first offense,Fine only with no license impact,Points that clear at age 18 years,Extended time in graduated status,D
ND-012,What is unique about North Dakota permit requirements?,Same as most other states in nation,One of few states allowing permit at 14,No permit required for any driver,Permit only available at age 16,B
ND-024,What does North Dakota implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
ND-026,What is unique about North Dakota DUI laws?,DUI is only a misdemeanor offense,First offense has no license impact,24/7 sobriety program may be required,No ignition interlock is ever required,C
ND-031,When must headlights be used in North Dakota?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,Sunset to sunrise or low visibility,D
ND-032,What does North Dakota Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
ND-034,What should North Dakota drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Severe winter conditions are common,Salt trucks clear roads immediately,C
ND-038,What should North Dakota drivers know about oil field traffic?,Oil field traffic is not a concern,Heavy truck traffic in oil areas,Oil trucks only in western areas,Oil trucks have the right of way,B
ND-040,What should North Dakota drivers know about long distances?,Services are frequent throughout state,Speed limits are higher for distance,All roads have rest stops nearby,Long distances between services exist,D
OH-009,Who can supervise an Ohio temporary permit holder?,Licensed driver 21+ in front seat,Any adult with valid drivers license,Only professional driving instructors,Any licensed driver over age 25,A
OH-025,What does Ohio implied consent law mean?,You can refuse all tests without penalty,Consent to vehicle searches only here,Auto consent to testing when driving,Consent to field sobriety tests only,C
OH-030,What happens if you drive without insurance in Ohio?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,Suspension plus reinstatement fees,D
OH-031,When must headlights be used in Ohio?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
OH-032,What does Ohio Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
OH-034,What should Ohio drivers know about lake effect snow?,Lake effect snow is rare in Ohio state area,Lake effect creates heavy snow near Lake Erie,Lake effect only affects Cleveland area,Lake effect snow has ended in state now,B
OH-040,What should Ohio drivers know about Cincinnati and Cleveland?,Traffic is light in both metro areas,No special concerns in these areas,Major metro areas with heavy traffic,Traffic rules differ from state laws,C
OK-008,What nighttime restrictions apply to Oklahoma intermediate license?,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from midnight to 5 AM only,No driving from 10 PM to 5 AM hours,D
OK-024,What does Oklahoma implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
OK-030,What happens if you drive without insurance in Oklahoma?,A warning only for the first offense,Fines plus suspension plus SR-22 filing,A small fine only is applied to you,Points on your license but no fine,B
OK-031,When must headlights be used in Oklahoma?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required here,C
OK-032,What does Oklahoma Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,Slow or move for emergency plus utility,D
OK-034,What should Oklahoma drivers know about tornadoes?,Tornadoes are rare in Oklahoma state,Only western Oklahoma sees tornadoes,Tornado warnings are always posted,Oklahoma is in Tornado Alley region,D
OK-037,What should Oklahoma drivers know about ice storms?,Ice storms are rare in Oklahoma state,Ice storms only affect northern areas,Ice storms can create dangerous roads,Ice storms only occur in mountains,C
OK-040,What should Oklahoma drivers know about the turnpike system?,Oklahoma has no toll roads at all here,Extensive turnpike system with Pikepass,Cash only tolls are accepted here,Turnpikes are free for all residents,B
OR-006,What restrictions apply to Oregon provisional license holders?,No driving between midnight and 5 AM,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from 10 PM to 5 AM only,A
OR-016,What is Oregon law on cell phones for young drivers?,No phone restrictions for any driver,Hands-free is allowed for all drivers,Only texting is banned for all drivers,No mobile device use for drivers under 18,D
OR-028,What is unique about Oregon gas stations?,Self service is common everywhere now,Full service required in most counties,Gas stations are state owned here,Cash only is accepted at stations,B
OR-031,When must headlights be used in Oregon?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required here,C
OR-032,What does Oregon Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
OR-034,What should Oregon drivers know about weather conditions?,Oregon has very mild weather always,Rain and fog are common in the state,Only eastern Oregon has bad weather,Weather has no effect on driving here,B
OR-037,What should Oregon drivers know about mountain passes?,Mountain passes have no special concerns,All passes are open year round here,Passes have higher speed limits set,Passes may close or need chains winter,D
OR-038,What should Oregon drivers know about coastal driving?,Coastal roads are always well maintained,No special concerns for coastal areas,Fog and winding roads along coast,Coastal roads have higher speed limits,C
PA-006,What restrictions apply to Pennsylvania junior license?,No nighttime restrictions apply at all,No driving from 11 PM to 5 AM hours,No driving after sunset at any time,No driving from midnight to 6 AM only,B
PA-025,What does Pennsylvania implied consent law mean?,You can refuse all tests without penalty,Auto consent to testing when driving,Consent to vehicle searches only here,Consent to field sobriety tests only,B
PA-026,What is the Accelerated Rehabilitative Disposition program in Pennsylvania?,Mandatory jail for first DUI offense,License restoration course only here,First-time DUI diversion program option,Commercial driver DUI program only,C
PA-030,What happens if you drive without insurance in Pennsylvania?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,Suspension plus fines plus restoration,D
PA-031,When must headlights be used in Pennsylvania?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
PA-032,What does Pennsylvania Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
PA-036,What is unique about Pennsylvania vehicle inspection?,No vehicle inspection required here,Online inspection is available now,Annual safety and emissions inspection,Only emissions inspection required,C
PA-037,What should Pennsylvania drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Salt trucks clear roads immediately,Severe winter conditions are common,D
PA-038,What should Pennsylvania drivers know about the Turnpike?,Pennsylvania Turnpike is free highway,Only for commercial trucks allowed,Major toll road with E-ZPass option,The Turnpike has no speed limits,C
PA-040,What should Pennsylvania drivers know about Philadelphia?,Traffic is light in the city area,No special concerns in the city,Traffic rules same as rest of state,Heavy traffic and parking challenges,D
RI-008,What nighttime restrictions apply to Rhode Island limited provisional license?,No driving from 1 AM to 5 AM hours,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from midnight to 6 AM only,A
RI-009,What is the passenger restriction for Rhode Island limited provisional?,Unlimited passengers are allowed now,One non-family passenger under 21,No passengers under age 18 allowed,Up to three passengers allowed now,B
RI-026,What is unique about Rhode Island DUI laws?,DUI is only a misdemeanor offense,First offense has no license impact,Community service always required,No ignition interlock ever required,C
RI-030,What happens if you drive without insurance in Rhode Island?,A warning only for the first offense,A small fine only is applied to you,Fines plus suspension plus SR-22 filing,Points on your license but no fine,C
RI-031,When must headlights be used in Rhode Island?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
RI-032,What does Rhode Island Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
RI-034,What should Rhode Island drivers know about traffic?,Traffic is light throughout the state,High congestion in small geographic area,No special traffic concerns at all,Traffic rules differ from other states,B
RI-038,What should Rhode Island drivers know about bridges?,There are no major bridges in state,All bridges are free to cross here,Several toll bridges and tunnels exist,Bridges are only for commercial use,C
SC-006,What restrictions apply to South Carolina conditional license?,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from 6 PM to 6 AM hours,Nighttime driving only with supervisor,D
SC-018,What is South Carolina law on cell phones for drivers under 18?,No wireless device use allowed period,No phone restrictions for any driver,Hands-free is allowed for all drivers,Only texting is banned for drivers,A
SC-030,What happens if you drive without insurance in South Carolina?,A warning only for the first offense,Suspension plus fines plus uninsured fee,A small fine only is applied to you,Points on your license but no fine,B
SC-031,When must headlights be used in South Carolina?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required here,C
SC-032,What does South Carolina Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,Slow or move for emergency plus utility,D
SC-034,What should South Carolina drivers know about hurricanes?,Hurricanes are rare in South Carolina,Only coastal areas need to evacuate,Evacuation routes exist for storms,Hurricanes only affect the coast,C
SC-035,What is South Carolina law regarding school buses?,Stop only when on the same side road,Stop in both directions unless barrier,Slow down to 25 mph when passing bus,Stop only when red lights are flashing,B
SD-005,What driving restrictions apply to South Dakota learners permit?,Must have licensed adult supervise,No supervision required at any time,Only parents can supervise driving,Only instructors can supervise,A
SD-011,What is unique about South Dakota permit age?,Same as most other states in nation,One of few states allowing permit at 14,No permit required for any driver,Permit only available at age 16,B
SD-031,When must headlights be used in South Dakota?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,Sunset to sunrise or low visibility,D
SD-032,What does South Dakota Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,A
SD-037,What should South Dakota drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Severe winter conditions are common,Salt trucks clear roads immediately,C
SD-038,What should South Dakota drivers know about Sturgis Rally?,Sturgis has no impact on traffic ever,Massive motorcycle rally causes traffic,Rally is only for local residents,Traffic rules change during rally,B
SD-040,What should South Dakota drivers know about wildlife?,Wildlife is not a significant concern,Wildlife only in national parks areas,Wildlife crossings are always marked,Deer and other wildlife are common,D
TN-030,What happens if you drive without insurance in Tennessee?,Suspension plus fines plus possible felony,A warning only for the first offense given,A small fine only is applied to you here,Points on your license but no fine given,A
TN-031,When must headlights be used in Tennessee?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
TN-032,What does Tennessee Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
TN-034,What should Tennessee drivers know about mountain driving?,Mountains are only in eastern part state,Mountain roads have higher speed limits,Mountain roads are all well maintained,Mountains have no special driving concerns,A
TN-035,What is Tennessee law regarding school buses?,Stop only when on the same side road,Slow down to 25 mph when passing bus,Stop only when red lights are flashing,Stop in both directions unless barrier,D
TN-037,What should Tennessee drivers know about Nashville and Memphis?,Traffic is light in both metro areas,No special concerns in these areas,Major metro areas with heavy traffic,Traffic rules differ from state laws,C
TX-006,What restrictions apply to Texas provisional license?,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from midnight to 5 AM,No driving from 10 PM to 5 AM only,C
TX-012,What is Texas Parent Taught Driver Education program?,Online only driver education course,Parent can teach driving course,Mandatory school driver education,Commercial driver education course,B
TX-017,What is Texas law on cell phones for young drivers?,No phone restrictions for any driver,Hands-free is allowed for all drivers,Only texting is banned for all drivers,No wireless device use for under 18,D
TX-030,What happens if you drive without insurance in Texas?,Fines plus possible license suspension,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,A
TX-031,When must headlights be used in Texas?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required here,C
TX-032,What does Texas Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,Slow or move for emergency plus utility,D
TX-034,What should Texas drivers know about weather?,Texas has very mild weather always,Extreme weather varies across state,Only southern Texas has hot weather,Weather has no effect on driving,B
TX-040,What should Texas drivers know about toll roads?,Texas has no toll roads at all here,Cash only tolls are accepted here,Extensive toll system in metro areas,Toll roads are free for residents,C
UT-006,What restrictions apply to Utah learner permit?,Must have licensed adult 21+ supervise,No supervision required at any time,Only parents can supervise driving,Only instructors can supervise here,A
UT-014,What is Utah law on texting while driving?,Texting is legal for adult drivers,Only banned in school zones here,Only banned for commercial drivers,Texting banned for all drivers now,D
UT-025,What does Utah implied consent law mean?,You can refuse all tests without penalty,Auto consent to testing when driving,Consent to vehicle searches only here,Consent to field sobriety tests only,B
UT-030,What happens if you drive without insurance in Utah?,A warning only for the first offense,A small fine only is applied to you,Fines plus suspension plus SR-22 filing,Points on your license but no fine,C
UT-031,When must headlights be used in Utah?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
UT-032,What does Utah Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
UT-037,What should Utah drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Mountain snow and canyon roads common,Salt trucks clear roads immediately,C
UT-038,What should Utah drivers know about air quality?,Air quality is always good in Utah,Winter inversions can reduce visibility,Only summer has air quality issues,Air quality has no driving impact,B
UT-040,What should Utah drivers know about national parks?,National parks have no special concerns,Parks are closed in winter season,Traffic rules differ in the parks,Park traffic heavy in tourist season,D
VT-006,What restrictions apply to Vermont junior license?,No nighttime restrictions apply at all,No driving after sunset at any time,Nighttime restrictions for first 3 mo,No driving from midnight to 6 AM only,C
VT-012,Who can supervise a Vermont permit holder?,Any adult with valid drivers license,Only professional driving instructors,Any licensed driver over age 21,Parent or licensed adult 25+ with exp,D
VT-024,What does Vermont implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
VT-031,When must headlights be used in Vermont?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
VT-032,What does Vermont Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
VT-034,What should Vermont drivers know about moose?,Moose are not found on Vermont roads,Moose are serious hazard at night time,Moose crossings are always marked,Moose only appear in northern areas,B
